0.998,1.083,1.427,2.066,3.284,3.42,4.173
0.998,1.084,1.919,1.946,2.346,2.974,3.078
0.998,1.084,1.717,1.944,2.219,2.683,3.073
2.914,2.914,2.914,2.914,2.914,2.914,2.914
0.662,0.726,0.728,0.73,0.769,0.786,0.93
0.976,1.403,1.405,1.416,1.42,1.503,1.999
0.662,0.729,0.769,0.769,0.769,0.779,0.946
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.064,1.407,1.43,1.51,1.739,1.918,1.982
2.914,2.914,2.914,2.914,2.914,2.914,2.914
4.107,4.107,4.107,4.107,4.107,4.107,4.107
3.968,3.968,3.968,3.968,3.968,3.968,3.968
3.567,3.567,3.567,3.567,3.567,3.567,3.567
1.181,1.184,2.305,4.16,4.483,6.485,11.793
1.283,3.066,3.451,3.977,4.481,5.36,11.941
3.638,3.638,3.638,3.638,3.638,3.638,3.638
4.536,4.536,4.536,4.536,4.536,4.536,4.536
1.086,1.404,1.453,1.502,1.758,1.842,2.207
0.0,0.0,0.0,0.0,0.0,0.0,0.0
